,User,Date,Tweet,Tweets Ago,Positive,Negative,Neutral,Compound
453,nytimes,Mon Apr 23 18:21:44 +0000 2018,Breaking News: The suspect in the Waffle House shooting that left 4 people dead in Nashville has been arrested afte… https://t.co/y1Vu1vVAas,54,0.0,0.639,0.361,-0.8625
454,nytimes,Mon Apr 23 18:13:05 +0000 2018,"How California turned into a ""state of resistance"" https://t.co/8avSsOztNs",55,0.0,1.0,0.0,0.0
455,nytimes,Mon Apr 23 18:03:04 +0000 2018,The MTA is hoping an unproven technology can help fix the subways. No one knows if it can actually work. https://t.co/9JjDXbec4n,56,0.214,0.7,0.086,0.5106
456,nytimes,Mon Apr 23 17:53:03 +0000 2018,"The latest updates from Nashville, where officials are still searching for the accused Waffle House shooter https://t.co/8w8OZR5N1v",57,0.0,0.879,0.121,-0.296
457,nytimes,Mon Apr 23 17:43:04 +0000 2018,"RT @joecoscarelli: DIARY OF A SONG: “The Middle” 

This is how a number one pop hit comes together, as told through demos, text messages an…",58,0.056,0.944,0.0,0.0772
458,nytimes,Mon Apr 23 17:33:03 +0000 2018,RT @nytpolitics: Emmanuel Macron is on a mission to persuade President Trump not to scrap the Iran nuclear deal https://t.co/ffw1KSEDkG htt…,59,0.0,1.0,0.0,0.0
459,nytimes,Mon Apr 23 17:23:06 +0000 2018,"RT @nytimesworld: The governor of Latvia’s central bank has never been a popular guy, with an austerity drive that led to widespread suffer…",60,0.0,0.9,0.1,-0.3252
460,nytimes,Mon Apr 23 17:13:03 +0000 2018,"RT @Max_Fisher: As promised, I wanted to briefly explain why I hope anyone who uses Facebook — in any country — will make time for our Sund…",61,0.205,0.795,0.0,0.6597
461,nytimes,Mon Apr 23 17:03:07 +0000 2018,"James Shaw Jr., who wrested the gun away from the Waffle House shooter, visited 2 women who survived the shooting i… https://t.co/8YIQFbKSpt",62,0.134,0.769,0.097,0.2263
462,nytimes,Mon Apr 23 16:53:06 +0000 2018,"With ""Avengers: Infinity War,"" Marvel says it wants to clear the table it has spent the last 10 years arranging and… https://t.co/xll2Az2mAr",63,0.213,0.787,0.0,0.6597
463,nytimes,Mon Apr 23 16:43:03 +0000 2018,New York City could face costs of hundreds of millions of dollars to repair boilers and roofs and eradicate mold fr… https://t.co/i5sDOBkGgC,64,0.0,1.0,0.0,0.0
464,nytimes,Mon Apr 23 16:33:05 +0000 2018,"He's sure of two things about himself:  He is a hockey man, and he is gay. Over the years, that has felt like an un… https://t.co/NQ4YINJfI0",65,0.173,0.827,0.0,0.5859
465,nytimes,Mon Apr 23 16:23:06 +0000 2018,"As a state senator, Scott Pruitt bought a house in Oklahoma City from a lobbyist, using a shell company set up with… https://t.co/ekuFUr0euA",66,0.0,1.0,0.0,0.0
466,nytimes,Mon Apr 23 16:13:02 +0000 2018,RT @NYTScience: A young soldier with a dreaded and devastating type of war injury has become the first wounded veteran to receive a penis t…,67,0.0,0.55,0.45,-0.9403
467,nytimes,Mon Apr 23 16:03:06 +0000 2018,"RT @nytopinion: Is it ethical to torture or kill robots as lifelike as those on Westworld? In your heart and gut, you already know the answ…",68,0.095,0.659,0.246,-0.743
468,nytimes,Mon Apr 23 15:53:01 +0000 2018,"Europe is outsourcing border management to distant countries, hoping to stop migrants before they cross the Mediter… https://t.co/nQpCO6PdRL",69,0.133,0.762,0.105,0.1531
469,nytimes,Mon Apr 23 15:43:05 +0000 2018,"RT @NYTNational: To navigate scandals and impeachments in recent years, governors and lawmakers have turned to a handful of lawyers. https:…",70,0.0,0.856,0.144,-0.4939
470,nytimes,Mon Apr 23 15:33:02 +0000 2018,How a set of doors outside a London hospital became the place where the world catches its first glimpses of new roy… https://t.co/T9eQVTsUap,71,0.0,1.0,0.0,0.0
471,nytimes,Mon Apr 23 15:23:03 +0000 2018,"RT @NYTScience: ""My daughter's brain is so damaged."" Suddenly a scientist learned her baby has the rarest of mutations in a gene the scient…",72,0.0,1.0,0.0,0.0
472,nytimes,Mon Apr 23 15:13:02 +0000 2018,"Cuomo and de Blasio are engaged in a feud so nasty, petty and prolonged that even in the cutthroat politics of New… https://t.co/T1TN6nQehk",73,0.091,0.604,0.305,-0.7502
